,Text
102,"   여당 세월호특조위원 2명, 새누리당에 공천 신청 viewsnnews.com/article?q=1270…  여당 쪽 특조위원은 금수저 드시었다! 야당쪽 위원이 이랬다면 난리 난리 종편부터 난리였을텐데, 어찌 이리 조용할까요?  "
103,"   한국에는 두 명의 카톨릭 추기경이 있습니다. 그러나 그들은 세월호참사의 아픔에도, 정신이 나갔는지 ""정치적""이라며 유가족의 가슴에 비수를 하나 더 꽂았습니다. 그러나 교황은 이렇게 말했습니다. pic.twitter.com/FgYUWip89B  "
104,"   <돈벌이를 위한 규제완화로 생기는 국민의 안전 침해..제 2세 2세월호를 막아야지요> 이재명 성남시장, 신축 주택 건물 '난공불락' 요새 만든다..왜? | 다음 뉴스 media.daum.net/v/201512200621…  "
105,"   이 시대에 예수가 오신다면 어떻게 할 것인가. 어떤 분이 저에게 물었습니다. 저는 이미 예수가 와 있다 생각한다고 말했습니다. 그래서 예수는 한상균 위원장처럼 죄인 취급받으며 잡혀가고, 세월호 가족들처럼... fb.me/5tmLKaBdS  "
106,  세월호 침몰 사고에 묻혀진 또 하나의 국정원 코메디... pic.twitter.com/K3YW40xjN3  
107,   거리행진을 하고 있는 세월호 유가족 유민 아빠 김영오씨와 정청래 새정치민주연합 최고위원. #고발뉴스 생중계 goo.gl/x31VAw pic.twitter.com/4BirsknfQy  
108,"   안철수가 중도를 표방 한단다! 호남이 중도 인가? 5.18 광주민주화 운동 4.19 혁명 정강정책 에서 빼라고? 그러면서 광주에가서 지지를 호소 하는가? 민중의 아픔을 안철수는 아는가? 백남기님, 세월호.. pic.twitter.com/mNgpJNPOW0  "
109,   “세월호 참사 진실 은폐하는 자가 범인이다. 박근혜 정부가 범인이다. 세월호 학살자 박근혜 정부의 범죄행위 밝혀질 수 있도록 대학생들 함께 하겠다” #고발뉴스 생중계 goo.gl/x31VAw pic.twitter.com/qV6QAAjmKb  
110,   트윗을 여니 전해라는 말이 유행이구나.  부정선거와 세월호 진실은  반드시 밝혀진다고 전해라. 오후의 날씨가 봄날처럼  따뜻하다.  
111,"  세월호 민간 잠수사들, 최초 증언  ""구조 초기, 무정부 상황"" ""아이들 탈출하려.. 철문이 휘었더라"" ""잠수사 대부분 부상-우울증.. 현업 복귀 불가 상태"" mediatoday.co.kr/news/articleVi… pic.twitter.com/H3VtOr5JeF  "
112,"   ""JTBC 이규현의 스포트라이트 세월호 민간잠수사 600일의기록"" 또다른 피해자들의 이야기 입니다. 꼭 시청해서 불편한 진실을 알립시다. twitter.com/jasmine_vanbea…  "
113,"  세월호는 어린 학생들을 무참히 학살한 사건이였지만.죄를 진 권력은 단""한놈도 처벌받거나 책임을 진놈이없는 학살이였다.사회적 약자가 이렇게 처참하게 학살""당했어도 권력들 깃털하나 건들지 못한게 진실고 진실이였다 pic.twitter.com/27IiACwA4m  "
114,"   “한 놈만 미안하다고 해라, 한 놈만…”[토요판] 뉴스분석 왜?/‘자해’ 세월호 화물기사 김동수씨 hani.co.kr/arti/society/s… pic.twitter.com/U0JCJCBncD  "
115,"   [JTBC]세월호참사, 최초공개 민간 잠수사 수중촬영영상공개. 세월호 아이들 '한동안 아이들은 살아있었다' 온몸에 탈출시도 흔적. bit.ly/1IYBg4Q pic.twitter.com/95CKGVEknl  "
